programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
javascript,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
sql,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
vba,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
net,".NET, SQL, VBA",99728.0,128700.0,"['net', 'sql', 'vba']"
sql,".NET, SQL, VBA",99728.0,128700.0,"['net', 'sql', 'vba']"
vba,".NET, SQL, VBA",99728.0,128700.0,"['net', 'sql', 'vba']"
java,"Java, PHP",115000.0,145000.0,"['java', 'php']"
php,"Java, PHP",115000.0,145000.0,"['java', 'php']"
css,"CSS, HTML, Javascript, PHP",42000.0,50000.0,"['css', 'html', 'javascript', 'php']"
html,"CSS, HTML, Javascript, PHP",42000.0,50000.0,"['css', 'html', 'javascript', 'php']"
javascript,"CSS, HTML, Javascript, PHP",42000.0,50000.0,"['css', 'html', 'javascript', 'php']"
php,"CSS, HTML, Javascript, PHP",42000.0,50000.0,"['css', 'html', 'javascript', 'php']"
bash/shell,"Bash/Shell, HTML, PHP, SQL, VBA",60000.0,60000.0,"['bash/shell', 'html', 'php', 'sql', 'vba']"
html,"Bash/Shell, HTML, PHP, SQL, VBA",60000.0,60000.0,"['bash/shell', 'html', 'php', 'sql', 'vba']"
php,"Bash/Shell, HTML, PHP, SQL, VBA",60000.0,60000.0,"['bash/shell', 'html', 'php', 'sql', 'vba']"
sql,"Bash/Shell, HTML, PHP, SQL, VBA",60000.0,60000.0,"['bash/shell', 'html', 'php', 'sql', 'vba']"
vba,"Bash/Shell, HTML, PHP, SQL, VBA",60000.0,60000.0,"['bash/shell', 'html', 'php', 'sql', 'vba']"
bash/shell,Bash/Shell,65000.0,73000.0,['bash/shell']
